these	42084
great	42161
us	43375
She	43559
much	43573
see	45116
know	45701
before	45903
must	46385
made	46576
should	47789
may	47857
can	48336
little	49699
such	49790
did	50712
our	50811
has	52151
shall	52494
about	52660
then	52764
like	55094
only	55591
time	55646
its	56055
now	56724
your	58003
other	59314
very	59465
some	61206
upon	61597
It	62889
any	64791
than	66454
do	68840
into	69437
could	69585
man	70693
up	73694
But	73923
out	77422
what	79679
more	80906
when	84009
if	84530
there	85804
been	87670
He	88303
will	88613
who	90790
we	93661
no	96357
would	97989
an	101292
And	101952
one	115073
their	118618
them	119087
are	119899
so	124205
were	127820
said	132206
or	134216
me	139405
my	148881
this	151146
from	152955
they	153367
The	155168
she	155478
all	161421
but	161739
him	176373
have	179648
by	181710
on	182456
at	187079
which	188177
you	216750
her	220114
had	244827
be	246929
not	256795
for	270078
as	279703
with	283324
is	290569
his	324097
he	353632
it	357778
was	394825
that	465747
I	492289
in	592343
a	705887
to	991369
and	1180488
of	1199469
the	2047944
